airport,airport_iata,country,city,rental_length,start_date,start_time,return_date,return_time,date_offset,deposit_price,drive_away_price,price,currency,product_name,product_id,airbags,aircon,free_cancellation,doors,group,seats,transmission,mileage,supplier_name,average,cleanliness,condition,dropoff_time,efficiency,location,pickup_time,value_for_money,no_of_ratings,rental_days,total_price
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,75.0,75.0,75.0,GBP,Fiat 500,728723191,1,1,1,4,Mini,5,Manual,200 miles per rental,Surprice,5.6,7.0,7.0,5.5,6.3,4.5,4.0,6.1,210,2,225.0
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,85.62,85.62,85.62,GBP,Kia Rio,691529366,1,1,1,4,Economy,5,Manual,200 miles per rental,Green Motion,6.9,7.7,7.9,8.6,6.9,5.8,5.6,6.6,4909,2,256.86
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,95.56,95.56,95.56,GBP,Kia Stonic,691529536,1,1,1,4,Compact,5,Manual,200 miles per rental,Green Motion,6.9,7.7,7.9,8.6,6.9,5.8,5.6,6.6,4909,2,286.68
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,90.64,90.64,90.64,GBP,Seat Leon,691529351,1,1,1,4,Compact,5,Manual,200 miles per rental,Green Motion,6.9,7.7,7.9,8.6,6.9,5.8,5.6,6.6,4909,2,271.92
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,109.6,109.6,109.6,GBP,Honda CR-V,691529441,1,1,1,4,Intermediate,5,Manual,200 miles per rental,Green Motion,6.9,7.7,7.9,8.6,6.9,5.8,5.6,6.6,4909,2,328.79999999999995
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,90.62,90.62,90.62,GBP,Volkswagen Golf,728723216,1,1,1,4,Compact,5,Manual,200 miles per rental,Surprice,5.6,7.0,7.0,5.5,6.3,4.5,4.0,6.1,210,2,271.86
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,112.16,112.16,112.16,GBP,Nissan Qashqai,699298791,1,1,1,4,Intermediate,5,Manual,400 miles per rental,Keddy By Europcar,8.4,8.8,8.3,9.6,8.8,8.5,7.6,7.8,2071,2,336.48
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,114.3,136.02,114.3,GBP,Nissan Qashqai   ,738669556,1,1,1,4,Intermediate,5,Manual,Unlimited mileage,Europcar,8.5,8.9,8.7,9.6,8.8,8.9,7.5,7.3,5966,2,364.62
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,107.91,107.91,107.91,GBP,Ford Mondeo,691529431,1,1,1,5,Standard,5,Manual,200 miles per rental,Green Motion,6.9,7.7,7.9,8.6,6.9,5.8,5.6,6.6,4909,2,323.73
Heathrow Airport,LHR,GB,London,2,2023-07-25,10:00,2023-07-27,10:00,0,125.64,149.51,125.64,GBP,Kia Sportage,745686606,1,1,1,5,Standard,5,Manual,Unlimited mileage,Europcar,8.5,8.9,8.7,9.6,8.8,8.9,7.5,7.3,5966,2,400.78999999999996
